id,label,comment
http://example.org/pharma-supply-chain#Facility/S007,Entity,
http://example.org/pharma-supply-chain#Facility,Entity,
http://example.org/pharma-supply-chain#Supplier/S011,Entity,
http://example.org/pharma-supply-chain#Facility/S029,Entity,
http://example.org/pharma-supply-chain#Facility/S021,Entity,
http://example.org/pharma-supply-chain#Facility/F001,Entity,
http://example.org/pharma-supply-chain#Facility/S015,Entity,
http://example.org/pharma-supply-chain#Supplier/S013,Entity,
http://example.org/ontology#Facility,Facility,Represents locations where products are manufactured or stored
http://example.org/pharma-supply-chain#Facility/S023,Entity,
http://example.org/pharma-supply-chain#Supplier/S025,Entity,
http://example.org/pharma-supply-chain#Supplier/S028,Entity,
http://example.org/pharma-supply-chain#Supplier/S019,Entity,
http://example.org/pharma-supply-chain#Product/P040,Entity,
http://example.org/pharma-supply-chain#Product/P049,Entity,
http://example.org/pharma-supply-chain#Product/P017,Entity,
http://example.org/pharma-supply-chain#Supplier/S002,Entity,
http://example.org/pharma-supply-chain#Material/M033,Entity,
http://example.org/pharma-supply-chain#Material,Entity,
http://example.org/pharma-supply-chain#Product/P033,Entity,
http://example.org/pharma-supply-chain#Supplier/S029,Entity,
http://example.org/pharma-supply-chain#Supplier/S010,Entity,
http://example.org/pharma-supply-chain#Product/P024,Entity,
http://example.org/pharma-supply-chain#Product,Entity,
http://example.org/pharma-supply-chain#Facility/F005,Entity,
http://example.org/pharma-supply-chain#Supplier/S044,Entity,
http://example.org/pharma-supply-chain#Supplier/S048,Entity,
http://example.org/pharma-supply-chain#Supplier,Entity,
http://example.org/pharma-supply-chain#Supplier/S008,Entity,
http://example.org/pharma-supply-chain#Material/M044,Entity,
http://example.org/pharma-supply-chain#Supplier/S045,Entity,
http://example.org/pharma-supply-chain#Facility/S011,Entity,
http://example.org/pharma-supply-chain#Material/M048,Entity,
http://example.org/pharma-supply-chain#Product/P013,Entity,
http://example.org/pharma-supply-chain#Facility/S048,Entity,
http://example.org/ontology#Product,Product,Represents final products being manufactured
http://example.org/pharma-supply-chain#Product/P021,Entity,
http://example.org/pharma-supply-chain#Facility/S034,Entity,
http://example.org/pharma-supply-chain#Product/P045,Entity,
http://example.org/pharma-supply-chain#Supplier/S016,Entity,
http://example.org/pharma-supply-chain#Facility/S046,Entity,
http://example.org/pharma-supply-chain#Material/M011,Entity,
http://example.org/pharma-supply-chain#Facility/S024,Entity,
http://example.org/pharma-supply-chain#Facility/F004,Entity,
http://example.org/pharma-supply-chain#Facility/S002,Entity,
http://example.org/pharma-supply-chain#Product/P031,Entity,
http://example.org/pharma-supply-chain#Product/P004,Entity,
http://example.org/pharma-supply-chain#Material/M042,Entity,
http://example.org/pharma-supply-chain#Supplier/S027,Entity,
http://example.org/pharma-supply-chain#Product/P019,Entity,
http://example.org/ontology#locatedIn,located in,Links an entity (supplier or facility) to its geographical location
http://example.org/pharma-supply-chain#Material/M030,Entity,
http://example.org/pharma-supply-chain#Product/P012,Entity,
http://example.org/pharma-supply-chain#Facility/S028,Entity,
http://example.org/pharma-supply-chain#Material/M049,Entity,
http://example.org/pharma-supply-chain#Facility/S001,Entity,
http://example.org/pharma-supply-chain#Facility/S049,Entity,
