start_id,end_id,type,label,comment
http://example.org/pharma-supply-chain#Facility/S007,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/S023,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Material/M033,http://example.org/pharma-supply-chain#Material,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Product/P024,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/F005,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S048,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S028,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Product/P013,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/S048,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/S002,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Product/P031,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/ontology#locatedIn,located in,http://www.w3.org/2000/01/rdf-schema#label,located in,
http://example.org/pharma-supply-chain#Facility/S028,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/F002,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/ontology#hasDate,Links events (supply or production) to dates,http://www.w3.org/2000/01/rdf-schema#comment,,Links events (supply or production) to dates
http://example.org/pharma-supply-chain#Supplier/S015,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/F003,http://example.org/pharma-supply-chain#Product/P004,http://example.org/pharma-supply-chain#produces,,
http://example.org/pharma-supply-chain#Product/P020,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/ontology#Facility,Represents locations where products are manufactured or stored,http://www.w3.org/2000/01/rdf-schema#comment,,Represents locations where products are manufactured or stored
http://example.org/pharma-supply-chain#Facility/S041,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S004,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/S006,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S016,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S004,http://example.org/pharma-supply-chain#Material/M002,http://example.org/pharma-supply-chain#supplies,,
http://example.org/pharma-supply-chain#Facility/S050,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Material/M013,http://example.org/pharma-supply-chain#Material,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S046,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S019,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Product/P004,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Product/P033,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/F002,http://example.org/pharma-supply-chain#Material/M003,http://example.org/pharma-supply-chain#hasMaterial,,
http://example.org/pharma-supply-chain#Material/M027,http://example.org/pharma-supply-chain#Material,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/S042,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/ontology#Supplier,Represents suppliers providing materials,http://www.w3.org/2000/01/rdf-schema#comment,,Represents suppliers providing materials
http://example.org/pharma-supply-chain#Material/M038,http://example.org/pharma-supply-chain#Material,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/F001,http://example.org/pharma-supply-chain#Product/P002,http://example.org/pharma-supply-chain#produces,,
http://example.org/pharma-supply-chain#Product/P040,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S005,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/ontology#locatedIn,Links an entity (supplier or facility) to its geographical location,http://www.w3.org/2000/01/rdf-schema#comment,,Links an entity (supplier or facility) to its geographical location
http://example.org/pharma-supply-chain#Facility/S046,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S005,http://example.org/pharma-supply-chain#Material/M005,http://example.org/pharma-supply-chain#supplies,,
http://example.org/pharma-supply-chain#Material/M005,http://example.org/pharma-supply-chain#Material,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Material/M028,http://example.org/pharma-supply-chain#Material,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/ontology#hasContactInformation,http://example.org/ontology#Supplier,http://www.w3.org/2000/01/rdf-schema#domain,,
http://example.org/pharma-supply-chain#Facility/S029,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/F004,http://example.org/pharma-supply-chain#Product/P004,http://example.org/pharma-supply-chain#produces,,
http://example.org/pharma-supply-chain#Supplier/S010,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/S030,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Supplier/S039,http://example.org/pharma-supply-chain#Supplier,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/S022,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Product/P039,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/F003,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Facility/S032,http://example.org/pharma-supply-chain#Facility,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Product/P043,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Material/M037,http://example.org/pharma-supply-chain#Material,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
http://example.org/pharma-supply-chain#Product/P035,http://example.org/pharma-supply-chain#Product,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,,
